bankruptcy_relevance,branch,case_citation,category,circuit,court,date_issued,disclosure_required,disclosure_scope,docket_no,framework_tag,holding_summary,id,internal_corpus_use,judge,jurisdiction_level,order_type,sanctions_imposed,source_type,source_url,subject_matter,tags,title,triggering_conduct,verification_status
secondary,judicial,"Mata v. Avianca, Inc., 678 F. Supp. 3d 443 (S.D.N.Y. 2023)",judicial,2d Cir.,"U.S. District Court, Southern District of New York",2023-06-22,n/a,n/a,1:22-cv-01461,subjective_bad_faith_rule_11,Court held that respondents acted with subjective bad faith sufficient for sanctions under Fed. R. Civ. P. 11. Use of generative AI tools does not relieve attorneys of the independent duty to verify the authenticity of cited authority before submission.,mata-v-avianca-2023,"filing_verification, ust_review_threshold","Hon. P. Kevin Castel, U.S.D.J.",federal,sanctions_order,"$5,000 jointly and severally on respondents Steven A. Schwartz, Peter LoDuca, and Levidow, Levidow & Oberman, P.C., paid into Registry of the Court within 14 days; ordered to send letters to each judge falsely identified as author of fake opinions, attaching the Order, June 8, 2023 hearing transcript, and the April 25 Affirmation containing the fabricated opinion attributed to that judge.",published_reporter,https://law.justia.com/cases/federal/district-courts/new-york/nysdce/1:2022cv01461/575368/54/,"civil, personal_injury, aviation","first_major_sanction, hallucinated_citations, rule_11, attorney, civil","Mata v. Avianca, Inc.: Opinion and Order on Sanctions","Submission of a brief in opposition to defendant's motion to dismiss containing six fabricated case opinions generated by ChatGPT, Varghese v. China Southern Airlines, Shaboon v. EgyptAir, Petersen v. Iran Air, Martinez v. Delta Air Lines, Estate of Durden v. KLM Royal Dutch Airlines, and Miller v. United Airlines, none of which exist. After defense counsel and the court flagged the citations as undiscoverable, plaintiff's counsel produced ChatGPT-generated 'copies' of the opinions to substantiate them, doubling down on the fabrications.",primary_source_verified
secondary,judicial,n/a (judge-specific standing requirement),judicial,5th Cir.,"U.S. District Court, Northern District of Texas",2023-05-30,true,"Every attorney appearing before the court must file a certificate attesting either (1) no portion of the filing was drafted by generative AI, or (2) any AI-drafted language has been checked for accuracy by a human being using print reporters or traditional legal databases. Coverage extends to quotations, citations, paraphrased assertions, and legal analysis.",n/a,mandatory_certification,Standing order requires AI-disclosure certification on every filing; non-compliant filings will be struck. Attorneys remain responsible under Rule 11 for the contents of any filing they sign regardless of AI involvement.,starr-ndtx-standing-order-2023,"disclosure_certification, model_for_w_d_mo_d_kan","Hon. Brantley Starr, U.S.D.J.",federal,standing_order,,court_website,https://www.txnd.uscourts.gov/judge/judge-brantley-starr,all_civil_in_court,"first_standing_order, disclosure_requirement, certification, attorney, pro_se",Mandatory Certification Regarding Generative Artificial Intelligence,Issued in response to growing concern over generative-AI tools producing fabricated citations and authorities. Cited Mata v. Avianca dynamics as motivating example.,primary_source_verified
secondary,judicial,"Park v. Kim, 91 F.4th 610 (2d Cir. 2024)",judicial,2d Cir.,U.S. Court of Appeals for the Second Circuit,2024-01-30,n/a,n/a,22-2057,circuit_disciplinary_referral,Citation to a nonexistent case suggests conduct that falls below the basic obligations of counsel. Use of generative AI tools does not excuse an attorney from separately ensuring that submissions to the court are accurate or legally tenable.,park-v-kim-2dcir-2024,"circuit_court_filings, disciplinary_threshold",Panel (per curiam disciplinary referral),federal,disciplinary_referral,Referral to Court's Grievance Panel for further investigation and consideration of referral to admission committee.,published_reporter,https://caselaw.findlaw.com/court/us-2nd-circuit/115760381.html,"civil, medical_malpractice","circuit_court, hallucinated_citations, disciplinary_referral, attorney, civil",Park v. Kim: Order Referring Counsel for Disciplinary Proceedings,"Attorney Jae S. Lee cited two fabricated cases in appellate brief, including Bourguignon v. Coordinated Behavioral Health Services, which did not exist. Lee acknowledged she 'encountered difficulties in locating a relevant case' and turned to ChatGPT, which generated the citation.",primary_source_verified
secondary,judicial,[pending docket pull],judicial,9th Cir.,"U.S. District Court, District of Oregon",2025-12 (exact day pending docket pull),n/a,n/a,[pending docket pull],local_counsel_liability,"Court dismissed plaintiff's claims, imposed approximately $110,000 in monetary sanctions and fee-shifting, and referred the matter to the Oregon State Bar after finding attorneys repeatedly submitted briefs containing AI-fabricated authorities. Local counsel held jointly accountable for AI-fabricated content in co-signed filings, even where lead counsel drafted the briefs.",couvrette-v-wisnovsky-2025,"co_signer_liability, multi_attorney_filings","[district judge, pending PACER/CourtListener docket pull]",federal,sanctions_order,"Approximately $110,000 total: $80,000 in opposing-side attorney fees plus $15,000 in fines against lead attorney Stephen Brigandi (San Diego, pro hac vice for plaintiff); approximately $14,000 in sanctions against local counsel Timothy Murphy (Oregon). Plaintiff's claims dismissed. Matter referred to Oregon State Bar.",secondary_aggregator (ABA Journal); primary docket pull pending,https://www.abajournal.com/news/article/oregon-federal-judge-hands-down-110000-penalty-for-ai-errors,"civil, inheritance, business","9th_circuit, hallucinated_citations, dismissal, attorney, civil, large_sanction, local_counsel_liability, escalation_pattern, bar_referral",Couvrette v. Wisnovsky: Order on Motion for Sanctions and Dismissal,"Across three separate briefs on cross-motions for summary judgment over a five-month period (January-May 2025), plaintiff's briefing included 15 AI-generated fake case citations and eight fabricated quotations. Pattern escalated: Jan 2025 = 2 fake citations; April 2025 = 7 fictitious citations; May 2025 = 16 invented references. Local counsel was sanctioned alongside lead counsel for failure to vet filings he co-signed.","facts_corroborated_multi_source, primary docket pull pending"
secondary,judicial,"Whiting v. City of Athens, 2026 WL 710568 (6th Cir. 2026)",judicial,6th Cir.,U.S. Court of Appeals for the Sixth Circuit,2026-03 (per JDJournal coverage 2026-03-16; exact day pending opinion pull),n/a,n/a,"Case Nos. 24-5918/5919, 25-5424",appellate_escalation_signal,"Sixth Circuit imposed $15,000-per-attorney punitive fines plus fee-shifting and double costs after finding fabricated citations across multiple briefs. Court explicitly justified the elevated sanction amount on the ground that 'smaller fines have plainly been inadequate, as is evidenced by the continuous stream of cases raising the same problems,' signaling escalation in appellate-level AI-hallucination sanctions.",whiting-v-city-of-athens-ca6-2026,"appellate_filings, repeat_misconduct_escalation","[panel, pending opinion pull]",federal,sanctions_order,"$15,000 each in punitive fines to court registry against attorneys Van R. Irion and Russ Egli ($30,000 total, reportedly the largest federal appellate AI-related sanction as of March 2026), plus joint responsibility for appellees' full attorney fees on appeal and double costs.",secondary_aggregator (LawSites); primary opinion pull pending,https://www.lawnext.com/2026/03/sixth-circuit-slaps-steep-sanctions-on-two-lawyers-for-fake-citations-and-misrepresentations-in-appellate-briefs.html,"civil, civil_rights","circuit_court, hallucinated_citations, large_sanction, repeat_misconduct, attorney, escalation_signal",Whiting v. City of Athens: Sanctions Order,"Counsel cited 24+ fake citations across appellate briefing, including citations whose Federal Reporter references actually corresponded to two unrelated 10th Circuit cases (one on unfair competition, one on a guilty plea), neither addressing the propositions cited. Citations also lacked the language quoted in the brief and failed to support the propositions advanced. Both attorneys had prior discipline for lack of candor to the tribunal; misconduct spanned three cases.","facts_corroborated_multi_source, primary opinion pull pending"
secondary,judicial,[pending opinion pull],judicial,"n/a (state court, included as scope expansion because the per-infraction rate framework has been adopted in subsequent federal orders)",Oregon Court of Appeals (state intermediate appellate),2025-12 (exact day pending opinion pull),n/a,n/a,[pending opinion pull],per_infraction_rate,"Oregon Court of Appeals characterized the proliferation of AI-generated sketchy legal documents as 'a very grave situation' and established a per-infraction sanctions framework: $500 per fabricated citation, $1,000 per fabricated quotation. The framework has been cited in subsequent federal sanctions orders adopting analogous per-infraction calculation.",watson-or-coa-2025,"sanctions_calibration, citation_verification","[panel, pending opinion pull]",state,sanctions_order,"$2,000 total. Court established a per-infraction rate framework: $500 per fabricated citation × 2 citations = $1,000; plus $1,000 per fabricated quotation × 1 quotation = $1,000.",secondary_aggregator (Daily Chronicle / NW Sidebar); primary opinion pull pending,"https://www.chronline.com/stories/very-grave-situation-oregon-court-slaps-attorney-with-2000-fine-for-ai-errors,392197",civil,"state_court, oregon, hallucinated_citations, per_infraction_rate, framework_setter, attorney",Sanctions Order Against Gabriel A. Watson,Portland attorney Gabriel A. Watson filed brief citing two nonexistent cases and one fabricated quotation. Watson initially attempted to attribute the error to his assistant having mistakenly filed a 'draft/placeholder' brief; later acknowledged and apologized for the AI-generated errors. Court rejected the explanation as not constituting a 'clear explanation' of how the errors occurred.,"facts_corroborated_multi_source, primary opinion pull pending"
none,judicial,n/a (judge-specific standing order),judicial,Federal Circuit (appeals from CIT),U.S. Court of International Trade,2023-06-08,true,"Two-prong requirement for any submission containing text drafted with the assistance of a generative AI program based on natural-language prompts (including but not limited to ChatGPT and Google Bard): (1) DISCLOSURE NOTICE, must identify the program used and the specific portions of text that were AI-drafted; (2) CONFIDENTIALITY CERTIFICATION, must certify that use of the program has not resulted in disclosure of any confidential or business-proprietary information to any unauthorized party.",n/a,confidentiality_disclosure_risk,Standing order pioneers the **confidentiality / business-proprietary disclosure-risk framework** for judicial AI governance. Distinct from Starr (accuracy/Rule 11 framework) and Baylson (broad-scope verification framework). Vaden's framework recognizes a second category of AI-use risk beyond hallucination: that prompt inputs may transmit otherwise-protected litigation information to third-party AI providers.,vaden-cit-standing-order-2023,"case_strategy_data_handling, ai_prompt_confidentiality","Hon. Stephen Alexander Vaden, U.S. Court of International Trade",federal,standing_order,,court_website,https://www.cit.uscourts.gov/sites/cit/files/Order%20on%20Artificial%20Intelligence.pdf,"international_trade, customs","specialty_court, court_of_international_trade, standing_order, disclosure_requirement, certification, confidentiality_framework, business_proprietary_risk, framework_setter",Order on Artificial Intelligence (cases assigned to Judge Vaden),"Issued in response to growing concern over generative-AI tools producing fabricated citations AND, distinctly from other early standing orders, the inadvertent disclosure of business-proprietary information through AI prompt inputs (e.g., where confidential trade data is included in prompts and effectively transmitted to third-party AI providers).",primary_source_verified
secondary,judicial,n/a (judge-specific standing order),judicial,7th Cir.,"U.S. District Court, Northern District of Illinois",2023-05-31 (revised effective date),true,"Any party using any generative AI tool to conduct legal research or to draft documents for filing must DISCLOSE in the filing that AI was used. Disclosure must include the specific AI tool and the manner in which it was used. NO separate certification regime is created, order anchors enforcement in existing Rule 11.",n/a,rule_11_grounded_no_new_certification,"Standing order establishes the **Rule 11-grounded framework** for judicial AI governance: rather than creating a new AI-specific certification regime, the order reaffirms that existing Rule 11 obligations apply to AI-assisted filings. Order language: 'Just as the Court did before the advent of AI as a tool for legal research and drafting, the Court will continue to presume that the Rule 11 certification is a representation by filers, as living, breathing, thinking human beings, that they themselves have read and analyzed all cited authorities to ensure that such authorities actually exist...' Holds explicitly that 'mere reliance on an AI tool' does NOT constitute reasonable inquiry under Rule 11.",fuentes-ndil-standing-order-2023,"rule_11_compliance, no_certificate_jurisdictions","Hon. Gabriel A. Fuentes, U.S. Magistrate Judge",federal,standing_order,null (enforcement via Rule 11 sanctions for noncompliance with the underlying duty to ensure citations exist and arguments are warranted),court_website,https://www.ilnd.uscourts.gov/_assets/_documents/_forms/_judges/Fuentes/Standing%20Order%20For%20Civil%20Cases%20Before%20Judge%20Fuentes%20rev%27d%205-31-23%20(002).pdf,all_civil_in_court,"7th_circuit, standing_order, disclosure_requirement, no_certification, rule_11_framework, framework_setter, magistrate_judge",Standing Order for Civil Cases Before Judge Fuentes (revised to add AI section),Issued during the May-June 2023 wave of judicial response to AI-hallucination filings. Fuentes' approach distinct from same-period orders by Starr (N.D. Tex.) and Baylson (E.D. Pa.) in declining to create a new certification regime.,primary_source_verified
secondary,judicial,n/a (judge-specific standing order),judicial,3d Cir.,"U.S. District Court, Eastern District of Pennsylvania",2023-06-06,true,"If any attorney for a party, or a pro se party, has used Artificial Intelligence, they MUST disclose that AI has been used in any way in the preparation of the filing, AND CERTIFY that each and every citation to the law or the record in the paper has been verified as accurate. Coverage uses the umbrella phrase 'AI' to describe a variety of advanced technologies, NOT limited to generative AI.",n/a,broadest_scope_any_ai,"Standing order pioneers the **broadest-scope framework** for judicial AI governance: requirement applies to *any* AI use in filing preparation, generative or otherwise, with mandatory accuracy verification of every citation to law or record. Among the early-wave standing orders, Baylson's is the most expansive in coverage, characterized by commentators as 'the most unusual of these early orders' for sweeping all AI under disclosure and certification obligations rather than carving the requirement to generative tools alone.",baylson-edpa-standing-order-2023,"verification_per_citation, all_ai_disclosure","Hon. Michael M. Baylson, U.S.D.J. (Senior Judge)",federal,standing_order,,court_website,https://www.paed.uscourts.gov/sites/paed/files/documents/procedures/Standing%20Order%20Re%20Artificial%20Intelligence%206.6.pdf,all_civil_in_court,"3d_circuit, standing_order, disclosure_requirement, certification, broad_scope_framework, all_AI, senior_judge, framework_setter","Standing Order: In Re: Artificial Intelligence (""AI"") in Cases Assigned to Judge Baylson","Issued in same May-June 2023 wave alongside Starr, Vaden, and Fuentes orders. Baylson's order distinguished by deliberately broad scope.",primary_source_verified
secondary,judicial,[pending docket pull],judicial,3d Cir.,"U.S. District Court, District of New Jersey",2026-04 (week of Inquirer report 2026-04-27; exact day pending docket pull),n/a,n/a,[pending docket pull],cross_jurisdictional_referral,"Court imposed escalating monetary sanction ($5,000, doubled from prior $2,500) against attorney for repeat filing of AI-hallucinated briefs and warned that a third instance would trigger referral to the attorney's licensing-state disciplinary board. Notable for the cross-jurisdictional disciplinary escalation framework: federal court in non-licensing state imposes monetary sanction and signals referral to the state where the attorney is admitted.",rajan-djn-2026,"repeat_offender_escalation, cross_state_disciplinary","Hon. Kai N. Scott, U.S.D.J.",federal,sanctions_order,"$5,000 (April 2026, second sanction against Rajan for AI-hallucinated brief content). Prior sanction of $2,500 imposed for first instance. Court warned that a third instance would result in referral to the Pennsylvania disciplinary board (Rajan is licensed in PA, not NJ; appeared in NJ federal court on a non-litigation-practice basis to assist his brother).",secondary_aggregator (Philadelphia Inquirer / Bloomberg Law); primary docket pull pending,https://www.inquirer.com/news/new-jersey/ai-legal-research-court-filings-halluciations-sanctions-court-20260427.html,"civil, fraud","3d_circuit, hallucinated_citations, repeat_offender, escalation, cross_jurisdiction_referral, attorney, low_practice_volume",Sanctions Order Against Raja Rajan (Second Instance),"Cherry Hill, NJ attorney Raja Rajan filed brief containing AI-hallucinated citations in federal civil matter. Second instance of same conduct after prior $2,500 sanction. Rajan stated he had not litigated cases in years and picked up the matter to assist his brother and former business partner who was accused of deceiving an investor for a million-dollar loan.","facts_corroborated_multi_source, primary docket pull pending"
